epoch,train_loss,train_acc,val_loss,val_acc
0,0.6937755772910142,0.5106551847295527,0.7576128315305178,0.5453531598513011
1,0.68247985151516,0.5455375213302115,0.7693250381813617,0.5555762081784387
2,0.6739791043972606,0.5552204452557641,0.741937220761324,0.5576208178438662
3,0.6682060030359908,0.5663319973014802,0.7605230627006757,0.5674721189591078
4,0.6659241417791638,0.5671653637049089,0.7321482958846819,0.5875464684014869
5,0.6642168737607559,0.5733957696733998,0.7387241360866448,0.5669144981412639
6,0.6575769704913125,0.5931981427834437,0.7180570688832648,0.6390334572490707
7,0.6489104724626251,0.6100638914242629,0.7216663097803477,0.6447955390334572
8,0.640717590218268,0.6276439541251637,0.6899535483587187,0.6808550185873606
9,0.6318072043548381,0.6462558038017382,0.6736056759454947,0.6795539033457249
10,0.6228639957339025,0.6573673558474543,0.6807196189922914,0.6802973977695167
11,0.6113175238449562,0.6634787094725981,0.6669774974589011,0.6988847583643123
12,0.6016380862914367,0.6735981586570896,0.6687654167302922,0.7128252788104089
13,0.5956641765037164,0.6768919401563555,0.664264790807958,0.7243494423791822
14,0.5852110639668359,0.686574864081908,0.6589242193778652,0.7109665427509294
15,0.5783654417332054,0.6909401166712965,0.6538739715367001,0.733271375464684
16,0.5692290080909802,0.6993134648200325,0.6455561140656028,0.7473977695167286
17,0.5660008668975176,0.7024485098615024,0.6589758652293549,0.7325278810408922
18,0.5630822902176585,0.703916822096115,0.644688327161796,0.7282527881040892
19,0.5517531993047236,0.7154252152863209,0.6337008537856177,0.7537174721189591
20,0.5471220338329446,0.7209413071947299,0.6256859485101522,0.7600371747211896
21,0.5425779597105713,0.7201079407913012,0.6426564759924509,0.7390334572490707
22,0.5404329338125166,0.7222508829715465,0.632252993016438,0.7609665427509293
23,0.5351171871732334,0.7295130759157109,0.6242074876026593,0.7637546468401487
24,0.5307540882208626,0.7332830667883646,0.6493131895933896,0.7671003717472119
25,0.5245969736863514,0.7365371641731815,0.6301286916750515,0.7717472118959108
26,0.5211294573651353,0.7392356839557125,0.6153811650205279,0.7689591078066914
27,0.515692867641219,0.743561252430652,0.6050771346322665,0.7886617100371747
28,0.516029087344402,0.7431644112861622,0.6232624346881994,0.7763940520446097
29,0.5085093239842332,0.749275764911306,0.617380005763809,0.779182156133829
30,0.5049880342888953,0.7522520734949799,0.6111980877844374,0.7899628252788105
31,0.4986436242228232,0.757887217746736,0.6084887121689807,0.783457249070632
32,0.5000430172696937,0.7554268026508989,0.6016761117708285,0.7968401486988848
33,0.4944106537829801,0.7588793206079606,0.5986827003025211,0.7985130111524164
34,0.4909367605968175,0.7630858367395531,0.6164160951805824,0.7847583643122676
35,0.49296035212913747,0.7599904758125322,0.6020748323224291,0.7944237918215613
36,0.48257236466341213,0.7666970911544109,0.5885820375056072,0.7992565055762082
37,0.4879559615844397,0.7624112067939204,0.5986402969378077,0.8018587360594795
38,0.4829235832552014,0.7668558276122068,0.5952618005993641,0.7996282527881041
39,0.4823247628087925,0.7660621453232271,0.597529577145346,0.8053903345724907
40,0.48007922449390295,0.7673320369855947,0.5997694590720989,0.8055762081784387
41,0.47891934121471974,0.7699908726536767,0.5991335629973713,0.8102230483271375
42,0.4743378972492847,0.7723322354061669,0.5954103480041248,0.8070631970260222
43,0.4723653921734561,0.7741577046708202,0.5927187948865075,0.8066914498141264
44,0.4708585583316493,0.7754672804476368,0.5965849360125659,0.8005576208178439
45,0.4736342039432017,0.7713401325449423,0.5956527861520703,0.8053903345724907
46,0.4719285869848002,0.7747926505020041,0.5896224999959584,0.8128252788104089
47,0.4709253224738056,0.7755069645620858,0.593257323206579,0.8044609665427509
48,0.4695171262066679,0.7775308543989841,0.602569064597658,0.7983271375464684
49,0.4690300396591576,0.7767371721100044,0.5984354893071058,0.8016728624535316
