epoch,train_loss,train_acc,val_loss,val_acc
0,0.6927527341291989,0.5117663399341243,0.7690834079976419,0.5276951672862453
1,0.6870868420086537,0.5299813484662089,0.7753050685372052,0.5200743494423792
2,0.6858129486971095,0.5407754275963332,0.7502406041418309,0.5355018587360595
3,0.6847090029777004,0.5460137307035994,0.755990834174103,0.5388475836431227
4,0.6827646997676888,0.549664669232906,0.7369444873253209,0.5440520446096654
5,0.6812363066497793,0.5572046509782134,0.7405882034159947,0.5514869888475836
6,0.6779948428348841,0.5676812571927458,0.7217400561034901,0.5942379182156133
7,0.6724695904454604,0.5856184769236874,0.7169620809945032,0.6245353159851301
8,0.6694362674116483,0.5968093971983015,0.7194238070661694,0.616728624535316
9,0.6670818932467911,0.6042700107147109,0.713128354735534,0.6527881040892193
10,0.6628672398891545,0.6156593515615699,0.7172201553685071,0.6514869888475836
11,0.660876158908539,0.615381562760427,0.7171325453595158,0.6578066914498141
12,0.660408248831778,0.6130402000079368,0.7087704256564711,0.6505576208178439
13,0.6566624556701195,0.6167705067661415,0.6990939872858692,0.6693308550185874
14,0.654891511434831,0.6245882773125918,0.6965893931548391,0.670631970260223
15,0.6536943159127598,0.6254216437160205,0.6958916934892591,0.6747211895910781
16,0.6510872134399898,0.6317314179134093,0.7211592953444413,0.6470260223048327
17,0.6495398413862674,0.6351045676415731,0.6982360826105877,0.679368029739777
18,0.6485994253969435,0.6365331957617366,0.7072181999904958,0.670817843866171
19,0.6473624149554877,0.6349061470693281,0.6927636555136358,0.6910780669144981
20,0.6452680772482441,0.6348267788404302,0.7004330512316254,0.6851301115241636
21,0.6435449501962831,0.6426048652724314,0.7086251524744424,0.6925650557620818
22,0.6397665161166699,0.6433191793325131,0.6964764303877451,0.7035315985130112
23,0.6380574889670169,0.6459383308861463,0.6878513700900024,0.7094795539033457
24,0.6371872283631775,0.6491924282709631,0.69251675149322,0.7057620817843866
25,0.6347243089209958,0.6491527441565141,0.6823540018836804,0.7052044609665428
26,0.6335544577482993,0.6489543235842692,0.6791085612375054,0.7074349442379182
27,0.6323802164439017,0.6570498829318624,0.6770542659724069,0.7072490706319703
28,0.6295305060478031,0.6567720941307195,0.6724242623410703,0.7133828996282527
29,0.6277226565906844,0.6647882852494147,0.6700796121115135,0.7200743494423791
30,0.6286790746117606,0.6639549188459859,0.6687039618155327,0.7219330855018588
31,0.6272598069331368,0.6618119766657407,0.6710263626726144,0.7152416356877324
32,0.6266290907024732,0.6648279693638637,0.6757156493052231,0.7191449814126394
33,0.6259089339581237,0.6644311282193738,0.6674206358349456,0.7182156133828996
34,0.6282063957095751,0.6604627167744752,0.6736965766183506,0.7206319702602231
35,0.6272976167008356,0.6645104964482718,0.6726579598334642,0.7172862453531599
36,0.6260718008512773,0.6689551172665582,0.668804624266784,0.7161710037174721
37,0.6440846566772703,0.646692329060677,0.7175126416975681,0.7050185873605948
38,0.6422969136141279,0.6421683400134925,0.6856461604731676,0.7159851301115242
39,0.642186221926648,0.644112861621493,0.7100964291831374,0.6808550185873606
40,0.6389408579786416,0.6509782134211675,0.717153583982177,0.6869888475836431
41,0.6401992126315983,0.6512163181078614,0.6874956110596213,0.7033457249070632
42,0.6366424729981398,0.6559784118417398,0.686501234304506,0.7144981412639405
43,0.634331622780277,0.6612563990634549,0.7024225280630544,0.6960966542750929
44,0.635452549923495,0.6612960831779039,0.702046483068218,0.7143122676579926
45,0.6361806942575474,0.6569308305885154,0.6876065091129573,0.7172862453531599
46,0.6325355154759993,0.660938926147863,0.695991917569398,0.7232342007434944
47,0.62820651223363,0.6703043771578238,0.6935843838634987,0.7144981412639405
