epoch,train_loss,train_acc,val_loss,val_acc
0,0.6926782845996963,0.5130362315964919,0.844449741379479,0.512267657992565
1,0.684269627036177,0.5419262669153538,1.4290170837955405,0.5377323420074349
2,0.6783070611167075,0.5460534148180484,0.8843741973536609,0.5639405204460967
3,0.6732324052431862,0.5579586491527442,0.9833141004285848,0.554275092936803
4,0.6685022995405391,0.5609349577364181,1.0461379877253536,0.6055762081784387
5,0.6625448849600584,0.586650263899361,1.033396045071485,0.6423791821561339
6,0.652518609831781,0.6162149291638557,0.9969759804608653,0.6479553903345725
7,0.6423472791229408,0.6310964720822255,0.9654438764189256,0.6648698884758364
8,0.6332350265102338,0.6443112821937379,1.007404044481015,0.6840148698884758
9,0.6295683057553272,0.6459383308861463,0.955020044461502,0.695910780669145
10,0.6206799859398513,0.6534386285170046,1.546697153123338,0.683271375464684
11,0.6164190441672572,0.6630025000992102,0.9344939589500427,0.6851301115241636
12,0.60690971705968,0.6705027977300686,0.9032950979183154,0.6908921933085502
13,0.6059789074783398,0.6717330052779872,0.8867033576876701,0.7009293680297398
14,0.5997393375952836,0.6733203698559467,0.923094291890864,0.6637546468401487
15,0.5959196144402935,0.6737568951148855,0.8952366521367353,0.6836431226765799
16,0.5820771981087433,0.6924481130203579,0.9080059876672397,0.7146840148698885
17,0.5770568137014578,0.689313067978888,0.8582202561282757,0.7180297397769517
18,0.5739312496811605,0.6970911544108893,0.8544437441684056,0.7076208178438662
19,0.5662175203262246,0.6983610460732569,0.9826979942481314,0.7310408921933086
20,0.5617670261769125,0.7060597642763602,0.8144826490196597,0.7362453531598513
21,0.5591809248863743,0.7054248184451763,0.8588703684647288,0.7236059479553903
22,0.5560593033578191,0.7113774356125243,0.8091441242225108,0.7356877323420075
23,0.549054883723029,0.7144331124250962,0.7610968153272862,0.7390334572490707
24,0.5425461216399512,0.7228858288027302,0.7616533381345104,0.7462825278810409
25,0.5412000644252385,0.7247906662962816,0.7613291048649076,0.7405204460966542
26,0.5382953732827593,0.7224493035437914,0.752811243897477,0.762453531598513
27,0.5302858379135277,0.7314179134092623,0.7481433805923037,0.7633828996282528
28,0.5279044192378897,0.732251279812691,0.7314392046414343,0.7691449814126394
