epoch,train_loss,train_acc,val_loss,val_acc
0,0.6571535741163389,0.5980792888606691,0.7245922147786176,0.6646296296296297
1,0.6163808830498438,0.660978610262312,0.7000963255211159,0.7
2,0.5964815197937985,0.6767728878130085,0.7101515833536783,0.7064814814814815
3,0.583245206907921,0.6878844398587246,0.6852309787714923,0.7137037037037037
4,0.5645133259181444,0.7041549267828089,0.6438882774776883,0.7455555555555555
5,0.5452996046485634,0.7233620381761181,0.6738947721763894,0.7255555555555555
6,0.529105053146176,0.729354339457915,0.6326272404635394,0.7609259259259259
7,0.5088326987351863,0.7442755664907338,0.5910160626305474,0.7785185185185185
8,0.49651154009672593,0.7496329219413469,0.5915157463815477,0.779074074074074
9,0.48814257309975356,0.7573713242588992,0.6327540765868293,0.7866666666666666
10,0.47755864048896707,0.7672526687566967,0.6077893550307663,0.7831481481481481
11,0.47436338239514886,0.7647525695464106,0.5661553801430597,0.807037037037037
12,0.46503873585444416,0.7682447716179214,0.5994269366617556,0.795
13,0.4601647148126273,0.7743164411286162,0.5821968044175042,0.7983333333333333
14,0.44853805584199535,0.7850311520298424,0.577220983505249,0.8057407407407408
15,0.44412463479840814,0.783721576253026,0.5591793882405316,0.82
16,0.4379317013140257,0.7857057819754752,0.5725279684419985,0.812962962962963
17,0.43466374053038315,0.7928886066907417,0.5475823043893885,0.8142592592592592
18,0.42852443802704665,0.7943966030398032,0.5548809849774397,0.8133333333333334
19,0.42409390383187284,0.797690384539069,0.5372874306749414,0.8225925925925925
20,0.4219921503386219,0.8016984800984166,0.555234953739025,0.8275925925925925
21,0.40894986586976173,0.8045557363387436,0.5439094473697521,0.825925925925926
22,0.4045972719902012,0.809159093614826,0.5331814856882449,0.8294444444444444
23,0.4029732209436482,0.8134846620897654,0.5397799086570739,0.8351851851851851
24,0.39727166368800976,0.8136830826620104,0.530797323120965,0.8331481481481482
25,0.39262101491014967,0.8164609706734394,0.5252350067209315,0.8307407407407408
26,0.3876251348384141,0.8188817016548275,0.513227464887831,0.8388888888888889
27,0.38236770869662917,0.8199134886305012,0.5210634834678085,0.8403703703703703
28,0.3778623943666214,0.8239215841898488,0.5131180919541253,0.842037037037037
29,0.3725035493333025,0.8295170443271559,0.512263625992669,0.8462962962962963
30,0.37247072128096814,0.8267788404301758,0.5047929807945534,0.8466666666666667
31,0.36408138148448793,0.8335648240009524,0.5036806052702445,0.8524074074074074
32,0.3601224616472491,0.8340013492598912,0.5084671314557393,0.855
33,0.3589365524878054,0.8330489305131156,0.5307353703180949,0.8427777777777777
34,0.353478850844094,0.8394777570538513,0.49184705672440704,0.8572222222222222
35,0.35686696850255056,0.837771340132545,0.4918265732129415,0.8548148148148148
36,0.34876115793163703,0.8442795349021787,0.495501394227699,0.8564814814814815
37,0.3427473349392717,0.8449541648478114,0.4873095346380163,0.8616666666666667
38,0.3429857559766866,0.8442398507877297,0.4860974004533556,0.8605555555555555
39,0.33915094637931303,0.8447557442755665,0.4807540661317331,0.8657407407407407
40,0.3382130569404908,0.8463431088535259,0.4893165545551865,0.8566666666666667
41,0.3359740128939224,0.8483669986904242,0.479443398669914,0.8629629629629629
42,0.3357483114914846,0.849120996864955,0.4780510090898584,0.8664814814814815
43,0.33290970402055886,0.8493194174371999,0.47942319834673847,0.8672222222222222
44,0.3266137879965874,0.8515417278463431,0.4750793445551837,0.8677777777777778
45,0.3290422131321606,0.8503512044128735,0.4732422222914519,0.8712962962962963
46,0.3293499118331725,0.8497559426961387,0.47290421861189386,0.87
47,0.3303334159672563,0.8508670979007104,0.4753545543882582,0.8675925925925926
48,0.3308674627205896,0.8495972062383428,0.4746127353332661,0.8672222222222222
49,0.3283927183276808,0.8537640382554863,0.4753048664552194,0.8672222222222222
